unit_name,class,description,men,guns,firepower,range,accuracy,reloading skill,ammo,strength,speed,value,defense,recruit_cost,upkeep_cost
Sepoys,Line Infantry,"Recruited by colonial powers, these indigenous Indian infantry are renowned for their loyalty and resilience.",160,,,70,30,20,15,4,8,10,7,780,190
African Native Infantry,Line Infantry,"These musket-armed troops use massed volleys to break an enemy, relying on discipline to withstand any counter fire.",160,,,70,30,20,15,4,8,10,5,780,190
Hessian Line Infantry,Line Infantry,"These musket-armed troops use massed volleys to break an enemy, relying on discipline to withstand any counter fire.",160,,,70,30,20,15,4,8,11,5,800,200
East India Company Infantry,Line Infantry,"Raised in India, these European mercenaries do not fight â€œfor king and countryâ€ù but for the great East Indies trading companies.",160,,,70,40,25,15,6,9,13,7,920,230
Colonial Line Infantry,Line Infantry,"These musket-armed troops use massed volleys to break an enemy, relying on discipline to withstand any counter fire.",160,,,70,40,25,15,6,9,13,7,920,230
Line Infantry,Line Infantry,"These musket-armed troops use massed volleys to break an enemy, relying on discipline to withstand any counter fire.",160,,,70,40,30,15,6,9,15,8,970,240
Pikemen,Melee Infantry,Pikemen carry long spears of a type that would have been familiar to the soldiers of Alexander the Great.,160,,,0,0,0,0,9,3,13,7,720,180
Ghoorkas,Melee Infantry,"Recruited by colonial powers, these indigenous Indian infantry are renowned for their loyalty and resilience.",200,,,0,0,0,0,11,10,8,7,920,230
Colonial Militia,Militia,"These musket-armed troops are recruited to defend their own locality, not carry the war to an enemyâ€™s land.",160,,,70,25,10,15,4,8,9,4,690,170
Militia,Militia,"These musket-armed troops are recruited to defend their own locality, not carry the war to an enemyâ€™s land.",160,,,70,25,10,15,4,8,9,4,690,170
Conscripts,Militia,"These men are legally compelled to serve in the army, on pain of imprisonment or death. As a result, they may not be the most enthusiastic of soldiers!",160,,,70,35,15,3,6,9,11,6,830,200
Dahomey Amazons,Militia,"These merciless female warriors, armed with rifles, are rightly feared by men for their aggression in battle.",160,,,90,40,10,5,7,8,3,6,850,250
Rangers,Skirmishers,These elite light infantrymen are trained in wilderness warfare and taught to survive in harsh conditions.,80,,,70,60,25,15,8,4,5,8,490,190
Colonial Militia,Skirmishers,"These musket-armed troops are recruited to defend their own locality, not carry the war to an enemyâ€™s land.",160,,,70,35,15,15,6,4,5,4,510,200
Rangers,Skirmishers,These elite light infantrymen are trained in wilderness warfare and taught to survive in harsh conditions.,80,,,90,50,30,20,8,10,7,5,510,120
Rogers' Rangers,Skirmishers,These elite light infantrymen are trained in wilderness warfare and taught to survive in harsh conditions.,80,,,90,65,35,20,9,11,9,9,710,170
Brig,Brig,"A brig is a lightly armed, small, two-masted sailing ship, much prized for its exceptional handling and sailing qualities.",78,25,73,500,57,5,,1180,21,High,,500,80
Brig,Brig,"A brig is a lightly armed, small, two-masted sailing ship, much prized for its exceptional handling and sailing qualities.",78,25,76,500,60,7,,1258,21,High,,700,170
Sloop,Sloop,A sloop of war is usually ketch-rigged with two masts. These small vessels handle well in restricted waters.,62,18,72,500,57,4,,1318,22,High,,390,60
Sloop,Sloop,A sloop of war is usually ketch-rigged with two masts. These small vessels handle well in restricted waters.,62,18,84,500,60,6,,1396,22,High,,560,140
"Admiral's Flagship, 5th Rate",Admiral,"Flagship frigates are single-deck warships, combining good handling, firepower and endurance at sea.",130,47,112,500,63,6,,3080,18,Medium,,1570,390
Fifth Rate,5th Rate,"Frigates are single-deck warships, used for a variety of tasks thanks to a combination of good handling, firepower and endurance at sea.",130,47,112,500,57,6,,2716,18,Medium,,1110,180
Fifth Rate,5th Rate,"Frigates are single-deck warships, used for a variety of tasks thanks to a combination of good handling, firepower and endurance at sea.",130,47,112,500,60,8,,2856,18,Medium,,1300,320
Razee,Razee,"A razee is a robust frigate, created by cutting the top deck off a larger ship of the line.",134,47,124,500,60,10,,4654,18,Medium,,2080,520
Sixth Rate,6th Rate,"A sixth rate is the smallest class of frigate. It is a useful scout for slow battle fleets, and usually has excellent handling characteristics.",92,32,78,500,60,8,,2198,19,Medium,,940,230
Carronade Frigate,6th Rate,"Carronade frigates are single-deck vessels, with extremely impressive short-range firepower.",76,24,52,300,60,8,,2856,18,Medium,,1170,290
Steamship,Steam Ship,"A steamship still uses sails, but the ability to ignore the wind is highly desirable in a warship.",114,31,216,500,60,10,,3134,18,High,,1770,440
Light Galley,Light Galley,"Light galleys have sails and oars, and light cannons mounted on platforms above the rowersâ€™ benches.",16,2,174,500,57,2,,578,19,High,,380,90
Galley,Medium Galley,"Galleys are propelled by both oars and sails, with cannons on firing platforms above the rowersâ€™ heads.",74,2,174,500,57,3,,1032,18,High,,430,100
"Admiral's Flagship, 3rd Rate",Admiral,"The third rate is a compromise between firepower and handling. A stable gun platform, it also makes a good flagship.",196,72,231,500,63,8,,5544,16,Low,,2540,630
"Admiral's Flagship, 1st Rate",Admiral,"The first rate is the largest type of â€œship of the line of battleâ€ù, intended to be the command ships at the centre of any fleet.",264,102,238,500,63,8,,9408,14,Low,,3630,900
First Rate Ship of the Line,1st Rate,"The first rate is the largest type of â€œship of the line of battleâ€ù, intended to be the centre of any fleet. These are very expensive and powerful vessels.",264,102,238,500,60,10,,8772,14,Low,,3310,820
Fourth Rate Ship of the Line,4th Rate,"The fourth rate is the smallest vessel styled a â€œship of the lineâ€ù (of battle), carrying as many as 60 guns.",152,56,158,500,60,8,,4152,16,Low,,1850,460
Heavy First Rate,Over 1st Rate,For some navies big is never quite big enough! This oversized â€œfirst rate ship of the lineâ€ù is more a floating fortress than a mere battleship.,300,118,246,500,61,10,,10042,13,Low,,4040,1010
HMS Victory,Over 1st Rate,"HMS Victory is a first rate ship of the line, carrying some 100 guns and a crew of more than 800 men.",268,102,252,500,65,8,,10586,14,Low,,4740,1180
Second Rate Ship of the Line,2nd Rate,"The second rate is a three-deck â€œBattle Ship of the Lineâ€ù carrying up to 98 cannons, a powerful unit in any fleet.",224,84,166,500,60,10,,6796,14,Low,,2720,680
Third Rate Ship of the Line,3rd Rate,"The third rate is an excellent compromise between firepower and handling qualities. A stable gun platform, it has more guns than many whole armies!",196,72,231,500,60,10,,4818,16,Low,,2200,550
Indiaman (Trade Ship),Indiaman,"The Indiaman is an armed merchant ship, strongly built for the trade routes between Europe and the East. It is not a warship, but can defend itself in need.",54,12,36,500,36,4,,1938,16,Low,,600,50
Bomb Ketch,Bomb Ketch,"The â€œbombâ€ù is a floating weapons platform, usually adapted from a small, two-masted ketch. The whole ship is constructed around a single large-calibre mortar.",42,15,66,750,60,4,,1176,16,Low,,1260,310
Rocket Ship,Rocket Ship,"A rocket ship is a floating arsenal, usually converted from a two-masted ketch-rigged vessel. The whole ship is given over to a rocket battery and the necessary stores.",16,2,66,750,20,6,,578,16,Low,,2135,530
